Date,WILL5000PRFC,GDP,BuffetIndicator
2023-07-25,46151.80859375,27967.697,1.6501826587205233
2023-07-26,46178.609375,27967.697,1.6511409350222865
2023-07-27,45835.51171875,27967.697,1.638873294384947
2023-07-28,46323.69921875,27967.697,1.6563287001696994
2023-07-31,46450.21875,27967.697,1.6608524738379424
2023-08-01,46313.48828125,27967.697,1.6559636026252
2023-08-02,45654.7109375,27967.697,1.6324086655222272
2023-08-03,45538.359375,27967.697,1.6282484530277912
2023-08-04,45305.3515625,27967.697,1.6199171337740108
2023-08-07,45677.109375,27967.697,1.6332095336630685
2023-08-08,45462.26953125,27967.697,1.6255278198719758
2023-08-09,45135.25,27967.697,1.6138350612136565
2023-08-10,45131.71875,27967.697,1.6137087994767678
2023-08-11,45089.76953125,27967.697,1.6122088826709615
2023-08-14,45313.96875,27967.697,1.6202252459328346
2023-08-15,44780.51171875,27967.697,1.6011512037887854
2023-08-16,44424.21875,27967.697,1.5884117576788679
2023-08-17,44050.9609375,27967.697,1.575065724485645
2023-08-18,44074.859375,27967.697,1.5759202259306513
2023-08-21,44338.91015625,27967.697,1.5853615031745374
2023-08-22,44217.19140625,27967.697,1.5810093840136354
2023-08-23,44709.30078125,27967.697,1.5986050185415697
2023-08-24,44104.96875,27967.697,1.5769968027757166
2023-08-25,44390.6484375,27967.697,1.5872114331580465
2023-08-28,44678.078125,27967.697,1.5974886357285694
2023-08-29,45335.94140625,27967.697,1.6210108900368163
2023-08-30,45521.26953125,27967.697,1.6276373965024722
2023-08-31,45468.4296875,27967.697,1.6257480795612167
2023-09-01,45606.109375,27967.697,1.630670890599251
2023-09-05,45346.5390625,27967.697,1.6213898149175459
2023-09-06,45056.87890625,27967.697,1.61103286074109
2023-09-07,44888.609375,27967.697,1.60501629344025
2023-09-08,44941.44921875,27967.697,1.6069056103815056
2023-09-11,45229.30078125,27967.697,1.6171978973188246
2023-09-12,44996.19921875,27967.697,1.6088632259835338
2023-09-13,44995.55078125,27967.697,1.6088400407530874
2023-09-14,45382.71875,27967.697,1.6226834390404044
2023-09-15,44849.6015625,27967.697,1.6036215481918301
2023-09-18,44847.390625,27967.697,1.6035424949362116
